benchmark,monitor,repetition,time,status
f16_r_SUM_x_P_x__e234300,monpoly,0,0.07655,ok
f16_r_SUM_x_P_x__e234300,monpoly,1,0.07577,ok
f16_r_SUM_x_P_x__e468750,staticmon,0,0.06853,ok
f16_r_SUM_x_P_x__e468750,staticmon,1,0.07448,ok
f16_r_SUM_x_P_x__e468750,monpoly,0,0.12762,ok
f16_r_SUM_x_P_x__e468750,monpoly,1,0.13183,ok
f16_r_SUM_x_P_x__e937500,staticmon,0,0.12594,ok
f16_r_SUM_x_P_x__e937500,staticmon,1,0.12938,ok
f16_r_SUM_x_P_x__e937500,monpoly,0,0.28798,ok
f16_r_SUM_x_P_x__e937500,monpoly,1,0.23969,ok
f16_r_SUM_x_P_x__e1875000,staticmon,0,0.23537,ok
f16_r_SUM_x_P_x__e1875000,staticmon,1,0.23332,ok
f16_r_SUM_x_P_x__e1875000,monpoly,0,0.50215,ok
f16_r_SUM_x_P_x__e1875000,monpoly,1,0.5079,ok
f16_r_SUM_x_P_x__e3750000,staticmon,0,0.4534,ok
f16_r_SUM_x_P_x__e3750000,staticmon,1,0.46242,ok
f16_r_SUM_x_P_x__e3750000,monpoly,0,0.93763,ok
f16_r_SUM_x_P_x__e3750000,monpoly,1,0.97891,ok
f17_r_CNT_x_g_S_g_x__e234300,staticmon,0,0.23798,ok
f17_r_CNT_x_g_S_g_x__e234300,staticmon,1,0.07767,ok
f17_r_CNT_x_g_S_g_x__e234300,monpoly,0,0.1337,ok
f17_r_CNT_x_g_S_g_x__e234300,monpoly,1,0.13003,ok
f17_r_CNT_x_g_S_g_x__e468750,staticmon,0,0.12839,ok
f17_r_CNT_x_g_S_g_x__e468750,staticmon,1,0.12588,ok
f17_r_CNT_x_g_S_g_x__e468750,monpoly,0,0.23556,ok
f17_r_CNT_x_g_S_g_x__e468750,monpoly,1,0.23776,ok
f17_r_CNT_x_g_S_g_x__e937500,staticmon,0,0.18221,ok
f17_r_CNT_x_g_S_g_x__e937500,staticmon,1,0.18201,ok
f17_r_CNT_x_g_S_g_x__e937500,monpoly,0,0.39512,ok
f17_r_CNT_x_g_S_g_x__e937500,monpoly,1,0.39398,ok
f17_r_CNT_x_g_S_g_x__e1875000,staticmon,0,0.28066,ok
f17_r_CNT_x_g_S_g_x__e1875000,staticmon,1,0.28821,ok
f17_r_CNT_x_g_S_g_x__e1875000,monpoly,0,0.7779,ok
f17_r_CNT_x_g_S_g_x__e1875000,monpoly,1,0.78087,ok
f17_r_CNT_x_g_S_g_x__e3750000,staticmon,0,0.56061,ok
f17_r_CNT_x_g_S_g_x__e3750000,staticmon,1,0.56338,ok
f17_r_CNT_x_g_S_g_x__e3750000,monpoly,0,1.47704,ok
f17_r_CNT_x_g_S_g_x__e3750000,monpoly,1,1.47564,ok
f18_r_MAX_x_g_S_g_x__e234300,staticmon,0,0.23429,ok
f18_r_MAX_x_g_S_g_x__e234300,staticmon,1,0.07299,ok
f18_r_MAX_x_g_S_g_x__e234300,monpoly,0,0.1307,ok
f18_r_MAX_x_g_S_g_x__e234300,monpoly,1,0.13051,ok
f18_r_MAX_x_g_S_g_x__e468750,staticmon,0,0.12946,ok
f18_r_MAX_x_g_S_g_x__e468750,staticmon,1,0.12957,ok
f18_r_MAX_x_g_S_g_x__e468750,monpoly,0,0.24245,ok
f18_r_MAX_x_g_S_g_x__e468750,monpoly,1,0.2374,ok
f18_r_MAX_x_g_S_g_x__e937500,staticmon,0,0.17659,ok
f18_r_MAX_x_g_S_g_x__e937500,staticmon,1,0.18403,ok
f18_r_MAX_x_g_S_g_x__e937500,monpoly,0,0.40425,ok
f18_r_MAX_x_g_S_g_x__e937500,monpoly,1,0.39506,ok
f18_r_MAX_x_g_S_g_x__e1875000,staticmon,0,0.29281,ok
f18_r_MAX_x_g_S_g_x__e1875000,staticmon,1,0.2875,ok
f18_r_MAX_x_g_S_g_x__e1875000,monpoly,0,0.72401,ok
f18_r_MAX_x_g_S_g_x__e1875000,monpoly,1,0.71811,ok
f18_r_MAX_x_g_S_g_x__e3750000,staticmon,0,0.61453,ok
f18_r_MAX_x_g_S_g_x__e3750000,staticmon,1,0.56098,ok
f18_r_MAX_x_g_S_g_x__e3750000,monpoly,0,1.4703,ok
f18_r_MAX_x_g_S_g_x__e3750000,monpoly,1,1.45964,ok
f19_r_MIN_x_g_S_g_x__e234300,staticmon,0,0.24018,ok
f19_r_MIN_x_g_S_g_x__e234300,staticmon,1,0.07766,ok
f19_r_MIN_x_g_S_g_x__e234300,monpoly,0,0.13103,ok
